Date,PC
16-02-2016,9798
16-02-2016,10239
16-02-2016,11203
16-02-2016,11748
16-02-2016,11643
16-02-2016,11650
16-02-2016,11605
16-02-2016,11450
16-02-2016,11333
16-02-2016,11221
16-02-2016,11113
16-02-2016,11096
16-02-2016,11159
16-02-2016,11505
16-02-2016,11835
16-02-2016,11902
16-02-2016,11737
16-02-2016,11284
16-02-2016,11281
16-02-2016,10980
16-02-2016,10464
17-02-2016,10125
17-02-2016,9929
17-02-2016,9867
17-02-2016,9979
17-02-2016,10473
17-02-2016,11380
17-02-2016,11796
17-02-2016,11761
17-02-2016,11714
17-02-2016,11620
17-02-2016,11523
17-02-2016,11370
17-02-2016,11155
17-02-2016,11053
17-02-2016,11124
17-02-2016,11115
17-02-2016,11434
17-02-2016,11728
17-02-2016,11802
17-02-2016,11689
17-02-2016,11032
17-02-2016,10992
17-02-2016,10737
17-02-2016,10248
18-02-2016,9827
18-02-2016,9647
18-02-2016,9576
18-02-2016,9702
18-02-2016,10128
18-02-2016,10957
18-02-2016,11436
18-02-2016,11483
18-02-2016,11590
18-02-2016,11588
18-02-2016,11511
18-02-2016,11450
18-02-2016,11428
18-02-2016,11349
18-02-2016,11364
18-02-2016,11332
18-02-2016,11681
18-02-2016,11854
18-02-2016,11888
18-02-2016,11698
18-02-2016,11166
18-02-2016,11215
18-02-2016,10923
18-02-2016,10396
19-02-2016,10067
19-02-2016,9820
19-02-2016,9753
19-02-2016,9873
19-02-2016,10239
19-02-2016,11191
19-02-2016,11668
19-02-2016,11617
19-02-2016,11684
19-02-2016,11649
19-02-2016,11675
19-02-2016,11628
19-02-2016,11467
19-02-2016,11378
19-02-2016,11313
19-02-2016,11271
19-02-2016,11543
19-02-2016,11735
19-02-2016,11654
19-02-2016,11461
19-02-2016,11027
19-02-2016,10958
19-02-2016,10729
19-02-2016,10257
20-02-2016,9858
20-02-2016,9598
20-02-2016,9459
20-02-2016,9465
20-02-2016,9553
20-02-2016,9901
20-02-2016,9947
20-02-2016,9964
20-02-2016,10247
20-02-2016,10378
20-02-2016,10373
20-02-2016,10364
20-02-2016,10389
20-02-2016,10372
20-02-2016,10489
20-02-2016,10582
20-02-2016,11059
20-02-2016,11516
20-02-2016,11406
20-02-2016,11052
20-02-2016,10601
20-02-2016,10729
20-02-2016,10580
20-02-2016,10150
21-02-2016,9776
21-02-2016,9483
21-02-2016,9361
21-02-2016,9344
21-02-2016,9437
21-02-2016,9614
21-02-2016,9543
21-02-2016,9577
21-02-2016,9823
21-02-2016,10137
21-02-2016,10254
21-02-2016,10261
21-02-2016,10205
21-02-2016,10104
21-02-2016,10143
21-02-2016,10181
21-02-2016,10598
21-02-2016,11002
21-02-2016,11037
21-02-2016,10823
21-02-2016,10399
21-02-2016,10534
21-02-2016,10420
21-02-2016,10061
22-02-2016,9754
22-02-2016,9540
22-02-2016,9460
22-02-2016,9596
22-02-2016,9935
22-02-2016,10877
22-02-2016,11290
22-02-2016,11394
22-02-2016,11509
22-02-2016,11535
22-02-2016,11503
22-02-2016,11505
22-02-2016,11379
22-02-2016,11303
22-02-2016,11266
22-02-2016,11167
22-02-2016,11425
22-02-2016,11737
22-02-2016,11756
22-02-2016,11600
22-02-2016,11074
22-02-2016,11093
22-02-2016,10869
22-02-2016,10408
23-02-2016,10084
23-02-2016,9836
23-02-2016,9770
23-02-2016,9850
23-02-2016,10239
23-02-2016,11082
23-02-2016,11393
23-02-2016,11442
23-02-2016,11453
23-02-2016,11454
23-02-2016,11385
23-02-2016,11360
23-02-2016,11281
23-02-2016,11259
23-02-2016,11196
23-02-2016,11117
23-02-2016,11269
23-02-2016,11706
23-02-2016,11786
23-02-2016,11616
23-02-2016,11114
23-02-2016,11138
23-02-2016,10847
23-02-2016,10362
24-02-2016,9995
24-02-2016,9730
24-02-2016,9674
24-02-2016,9726
24-02-2016,10193
24-02-2016,10993
24-02-2016,11226
24-02-2016,11331
24-02-2016,11402
24-02-2016,11435
24-02-2016,11465
24-02-2016,11367
24-02-2016,11211
24-02-2016,11130
24-02-2016,11145
24-02-2016,11106
24-02-2016,11288
24-02-2016,11711
24-02-2016,11777
24-02-2016,11634
24-02-2016,11126
24-02-2016,11081
24-02-2016,10787
24-02-2016,10299
25-02-2016,9990
25-02-2016,9758
25-02-2016,9704
25-02-2016,9783
25-02-2016,10178
25-02-2016,10981
25-02-2016,11126
25-02-2016,11183
25-02-2016,11247
25-02-2016,11248
25-02-2016,11243
25-02-2016,11189
25-02-2016,11121
25-02-2016,11104
25-02-2016,11069
25-02-2016,11017
25-02-2016,11169
25-02-2016,11581
25-02-2016,11646
25-02-2016,11551
25-02-2016,11102
25-02-2016,11192
25-02-2016,11000
25-02-2016,10543
26-02-2016,10196
26-02-2016,10005
26-02-2016,9879
26-02-2016,9999
26-02-2016,10440
26-02-2016,11180
26-02-2016,11437
26-02-2016,11577
26-02-2016,11701
26-02-2016,11728
26-02-2016,11723
26-02-2016,11684
26-02-2016,11578
26-02-2016,11424
26-02-2016,11424
26-02-2016,11368
26-02-2016,11522
26-02-2016,12016
26-02-2016,12023
26-02-2016,11734
26-02-2016,11433
26-02-2016,11504
26-02-2016,11311
26-02-2016,10829
27-02-2016,10506
27-02-2016,10293
27-02-2016,10218
27-02-2016,10181
27-02-2016,10323
27-02-2016,10667
27-02-2016,10521
27-02-2016,10785
27-02-2016,10919
27-02-2016,10922
27-02-2016,10820
27-02-2016,10694
27-02-2016,10558
27-02-2016,10485
27-02-2016,10546
27-02-2016,10655
27-02-2016,10977
27-02-2016,11724
27-02-2016,11708
27-02-2016,11335
27-02-2016,10920
27-02-2016,11076
27-02-2016,10916
27-02-2016,10530
28-02-2016,10057
28-02-2016,9825
28-02-2016,9703
28-02-2016,9672
