Date,Hours,PC
02-02-2013,22 - 23,10795
02-02-2013,23 - 00,10327
03-02-2013,00 - 01,9945
03-02-2013,01 - 02,9602
03-02-2013,02 - 03,9553
03-02-2013,03 - 04,9512
03-02-2013,04 - 05,9582
03-02-2013,05 - 06,9822
03-02-2013,06 - 07,9911
03-02-2013,07 - 08,9928
03-02-2013,08 - 09,10096
03-02-2013,09 - 10,10257
03-02-2013,10 - 11,10395
03-02-2013,11 - 12,10406
03-02-2013,12 - 13,10338
03-02-2013,13 - 14,10247
03-02-2013,14 - 15,10243
03-02-2013,15 - 16,10464
03-02-2013,16 - 17,11033
03-02-2013,17 - 18,11145
03-02-2013,18 - 19,11169
03-02-2013,19 - 20,10997
03-02-2013,20 - 21,10647
03-02-2013,21 - 22,10961
03-02-2013,22 - 23,10714
03-02-2013,23 - 00,10331
04-02-2013,00 - 01,9989
04-02-2013,01 - 02,9821
04-02-2013,02 - 03,9727
04-02-2013,03 - 04,9846
04-02-2013,04 - 05,10185
04-02-2013,05 - 06,11311
04-02-2013,06 - 07,11919
04-02-2013,07 - 08,12010
04-02-2013,08 - 09,11986
04-02-2013,09 - 10,11926
04-02-2013,10 - 11,11792
04-02-2013,11 - 12,11718
04-02-2013,12 - 13,11619
04-02-2013,13 - 14,11571
04-02-2013,14 - 15,11488
04-02-2013,15 - 16,11386
04-02-2013,16 - 17,11772
04-02-2013,17 - 18,11753
04-02-2013,18 - 19,11749
04-02-2013,19 - 20,11513
04-02-2013,20 - 21,11098
04-02-2013,21 - 22,11174
04-02-2013,22 - 23,10834
04-02-2013,23 - 00,10310
05-02-2013,00 - 01,10013
05-02-2013,01 - 02,9790
05-02-2013,02 - 03,9790
05-02-2013,03 - 04,9821
05-02-2013,04 - 05,10145
05-02-2013,05 - 06,11203
05-02-2013,06 - 07,11801
05-02-2013,07 - 08,11840
05-02-2013,08 - 09,11710
05-02-2013,09 - 10,11689
05-02-2013,10 - 11,11721
05-02-2013,11 - 12,11720
05-02-2013,12 - 13,11627
05-02-2013,13 - 14,11644
05-02-2013,14 - 15,11516
05-02-2013,15 - 16,11574
05-02-2013,16 - 17,12085
05-02-2013,17 - 18,12022
05-02-2013,18 - 19,12094
05-02-2013,19 - 20,11902
05-02-2013,20 - 21,11378
05-02-2013,21 - 22,11473
05-02-2013,22 - 23,11095
05-02-2013,23 - 00,10588
06-02-2013,00 - 01,10190
06-02-2013,01 - 02,10043
06-02-2013,02 - 03,10032
06-02-2013,03 - 04,10173
06-02-2013,04 - 05,10611
06-02-2013,05 - 06,11672
06-02-2013,06 - 07,12269
